Bigram,Frequency
th,4.675143079280757
he,4.042191539289856
in,3.19819511672972
er,2.6927399876049942
an,2.609767867784207
re,2.437775709237363
on,2.311205989224009
at,1.954524382267894
en,1.911819676044976
nd,1.777769310496386
ti,1.7650138032217215
es,1.7608265735218225
or,1.6781950046726628
te,1.5839751888461184
of,1.5446747432779104
ed,1.5356669099807505
is,1.4834840930456177
it,1.4767055939264067
al,1.4296094981210317
ar,1.413109323754963
st,1.3849459374101942
to,1.3688952748922083
nt,1.3688750569261356
ng,1.2528756820297928
se,1.2253992672385405
ha,1.217049933884777
as,1.1451803108819754
ou,1.143743728899226
io,1.097638531679153
